Title,Author(s),Year,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Flag,Thesis_PDF,Cover_Image,Match_Status,Country,All_Latitudes,All_Longitudes
"Protecting the flood-prone areas outside the dikes of Dordrecht | Cost-Benefit Analysis of possible technically suitable, legally feasible, economically affordable and socially accepted solutions",Alessandro Cossu,2023.0,Martijn Kuller,Martin Wassen,"This thesis investigates solutions to protect flood-prone areas outside the dikes of Dordrecht, Netherlands. The aim is to identify technically suitable, legally feasible, economically affordable, and socially accepted options through a cost-benefit analysis. The methodology includes semi-structured expert interviews and analysis of various project alternatives. The findings highlight the importance of integrating technical, legal, economic, and social factors in flood risk management to enhance safety and resilience in vulnerable areas.","What are the technically suitable, legally feasible, economically affordable, and socially accepted solutions to protect the flood-prone areas outside the dikes of Dordrecht?",11 - Sustainable Cities and Communities,"This SDG applies as the research focuses on enhancing urban resilience and safety in flood-prone areas, contributing to sustainable urban development.","Dordrecht, Netherlands",Local,Governance & Policy,"Cost-Benefit Analysis, Flood Risk Management, Dordrecht, Water management",Qualitative Empirical Research,"Semi-structured interviews, Cost-benefit analysis",,Rijkswaterstaat,,Dordrecht,51.768955,4.686789,City,Abstract too short,cossu_2023.pdf,cossu_2023.png,Matched,Netherlands,51.768955,4.686789
Adaptation Tipping Points and Pathways | Towards a long-term perspective on the solution space of coastal adaptation in the Southwestern Delta in the Netherlands,Jeroen Lokker,2023.0,"Martin Wassen, Martijn Kuller",,"This thesis addresses the pressing challenge of sea-level rise (SLR) for coastal adaptation in the Southwestern Delta of the Netherlands. The aim is to develop a systematic approach to identify Adaptation Tipping Points (ATP’s) and evaluate their decisiveness for long-term adaptation strategies. The methodology combines data from a Deltares database, literature review, and qualitative interviews with experts. Key findings indicate that specific ATP’s pose significant risks to existing management strategies, necessitating additional adaptation measures to maintain functionality in the face of SLR. The outcomes provide valuable insights for policymakers in enhancing coastal adaptation planning.","Which adaptation tipping points (ATP’s) and adaptation decisions are most decisive for the solution space for coastal adaptation to SLR, focussing on the Southwestern Delta and the management targets here for the sandy coastlines, flood risks and freshwater supply?",13 - Climate Action,"The thesis focuses on adaptation strategies to combat the impacts of sea-level rise, which is a critical aspect of climate change and its effects on coastal regions.","Southwestern Delta, Netherlands",Local,Energy & Climate,"Adaptation Tipping Points, Coastal Adaptation, Sea-Level Rise, Southwestern Delta, Delta Management","Literature-Based Research, Qualitative Empirical Research","Interviews, Literature review",Dynamic Adaptive Policy Pathways,,Deltares,Southwestern Delta,51.583333,3.916667,Region,Abstract too short,lokker_2023.pdf,lokker_2023.png,Matched,Netherlands,51.583333,3.916667
Spatial and temporal analysis in land and water productivity using WaPOR data,Aïsha Janssens,2022.0,Stefan Dekker,Simon Chevalking,"The Ethiopian government faces a challenge in which they aim to increase the yields of the sugarcane fields of Metahara, while decreasing the water consumption. Hence, this research analyzed the spatial and temporal distribution of land and biomass water productivity in Metahara. WaPOR data covering 2009-2021 was used to analyze five irrigation scheme performance indicators: land and water productivity, productivity gaps, water consumption, uniformity, and adequacy. The WaPOR data was compared to ground-level data for validation. Stakeholders were consulted to understand the results and the results of the WaPOR data were compared to two other variables: soil texture and the influence of the saltwater of Lake Basaka. The temporal results from this research revealed that water productivity decreased over time, and that droughts explained partly for temporal variations.","How does the spatial and temporal distribution of land and water productivity in the sugarcane plantations of Metahara relate to the influence of Lake Basaka, soil texture, and droughts?",6 - Clean Water and Sanitation,"This research addresses the challenge of water consumption in agriculture, specifically in sugarcane production, which is crucial for ensuring sustainable water management.","Metahara, Ethiopia",Local,Energy & Climate,"WaPOR, water productivity, sugarcane, Ethiopia, remote sensing",Qualitative Empirical Research,"Performance assessment indicators analysis, Stakeholder interviews",,MetaMeta,,Metahara,8.902509,39.91814,City,,janssens_2022.pdf,janssens_2022.png,Matched,Ethiopia,8.902509,39.91814
Distribution of Nature-Based Solutions in Dutch Cities: Is it Strategic and Fair?,Bara Alrefai,2025.0,"Martijn Kuller, Floris Boogaard",Anna Duden,"Cities worldwide face increasing risks from urban flooding and heat stress. In response, Dutch municipalities are implementing NBS. However, deployment has often been opportunistic and socially uneven, potentially neglecting the most vulnerable areas. This research quantitatively assesses whether the distribution of NBS in Amsterdam, Rotterdam, and Utrecht is both strategic and equitable. The study utilizes a neighborhood-level analysis, integrating geospatial data from ClimateScan.nl, climate risk maps from the Klimaateffectatlas, and socio-economic statistics from CBS. The results reveal strong spatial inequality and a pronounced Matthew Effect, with NBS expansion concentrated in already well-served neighborhoods and under-served areas facing a clear barrier to entry.",Is the distribution of Nature-Based Solutions in Dutch cities strategic and equitable?,11 - Sustainable Cities and Communities,"This research addresses urban climate adaptation practices, focusing on the equitable distribution of Nature-Based Solutions in cities, which aligns with the goal of making cities inclusive, safe, resilient, and sustainable.",Netherlands,National,Urban & Regional Development,"Nature-Based Solutions, urban climate adaptation, spatial equity, climate vulnerability, socio-economic status",Quantitative Empirical Research,"Neighborhood-level analysis, Multiple Linear Regression, Quantile Regression",,Deltares,"Amsterdam, Rotterdam, Utrecht",Netherlands,52.243498,5.634323,Country,,alrefai_2025.pdf,alrefai_2025.png,Matched (content),Netherlands,52.243498,5.634323
The role of Hoogheemraadschap de Stichtse Rijnlanden in urban climate adaptation,Ineke van Koldam,2023.0,Arie Staal,,"To keep urban areas in the Netherlands inhabitable in the changing climate where extreme rainfall, drought, and heat occur increasingly often, they need to become more climate adaptive. The Deltaprogramma Ruimtelijke Adaptatie (DPRA) requires safety regions to carry out a climate stress test for locations that are at risk of water nuisance, drought, heat stress and flood risk. This research has focussed mostly on the collaboration between municipalities and water authorities. In depth research on the collaboration of Hoogheemraadschap de Stichtse Rijnlanden (HDSR) and fourteen municipalities within its management area has been conducted with the aim to provide HDSR with a set of actions they can take to assist municipalities in the creation of climate adaptation policy and the implementation of adaptation measures.",How can Hoogheemraadschap de Stichtse Rijnlanden assist municipalities in the creation of climate adaptation policy and the implementation of adaptation measures?,11 - Sustainable Cities and Communities,This SDG applies as the research focuses on making urban areas more climate adaptive and improving collaboration between different government levels to achieve climate adaptation goals.,Netherlands,National,Urban & Regional Development,"urban climate adaptation, regional water authorities, municipal adaptation, multiple level governance",Qualitative Empirical Research,"Interviews, Policy analysis",,Hoogheemraadschap De Stichtse Rijnlanden,,,52.243498,5.634323,Broad,,koldam_2023.pdf,koldam_2023.png,Matched,Netherlands,52.243498,5.634323
Preventing hydrological drought in the Pleistocene uplands: A modeling experiment with nature and managed aquifer recharge,Clara Daldegan Balduino,2020.0,Niko Wanders,Marjolein van Huijgevoort,"The summer of 2018 was one of the driest in the Netherlands, affecting water management infrastructure. This thesis studies the effects of managed aquifer recharge (MAR) for hydrological drought prevention in the Pleistocene uplands. The research question is: What are the regional effects of locally applied managed aquifer recharge as a measure to prevent hydrological drought and its impacts on natural and agricultural ecosystems in the Pleistocene uplands of the Netherlands? A combined groundwater and soil-vegetation-atmosphere model was built to analyze different MAR strategies. Results indicate that MAR can prevent hydrological drought and increase transpiration, with varying effects based on the location of recharge wells.",What are the regional effects of locally applied managed aquifer recharge as a measure to prevent hydrological drought and its impacts on natural and agricultural ecosystems in the Pleistocene uplands of the Netherlands?,6 - Clean Water and Sanitation,"This SDG applies as the research focuses on improving water availability and management to prevent drought, which is crucial for sustainable water resources.","Pleistocene uplands, Netherlands",Regional,Water Management,"Managed Aquifer Recharge, hydrological drought, Pleistocene uplands, groundwater, modeling",Mixed Methods Research,"Modeling, Scenario analysis",,KWR Water Research Institute,,Netherlands,52.2434979,5.6343227,Country,,balduino_2020.pdf,balduino_2020.png,Matched,Netherlands,52.2434979,5.6343227
IN SEARCH OF THE WATER-WISE MEGACITY Assessing current and future challenges for sustainable water management in the city of Toronto,Sebastian Rivadeneira,2020.0,Carel Dieperink,Kees van Leeuwen,"This thesis explores the challenges of sustainable water management in Toronto, aiming to assess current practices and future demands. The research employs a mixed methodology, including literature review and expert interviews, to analyze the city's water system and stakeholder involvement. Key findings indicate significant trends in water use and governance capacity, highlighting the need for integrated water resource management to address future challenges.",What are the current and future challenges for sustainable water management in the city of Toronto?,6 - Clean Water and Sanitation,This SDG applies as the research focuses on sustainable water management practices and the challenges faced by urban water systems in Toronto.,"Toronto, Canada",Local,Urban & Regional Development,"sustainable water management, Toronto, urban water system, governance capacity, water demand",Mixed Methods Research,"Literature review, Expert interviews",,,,Toronto,43.653482,-79.383935,City,Abstract too short,rivadeneira_2020.pdf,rivadeneira_2020.png,Matched (content),Canada,43.653482,-79.383935
An Assessment Tool for Microclimate Management to Enhance Ethiopian Crop Production,Femke Maria van Woesik,2021.0,Hugo de Boer,"Francesco Sambalino, Jean Marc Pace","Ethiopia’s economy heavily depends on traditional rain-fed agriculture. However, the Guba Lafto, Amhara region in Ethiopia is highly susceptible to climate change and has a fragile highland ecosystem threatened by land degradation. This results in crop productivity being about 1/3 of the potential. This yield gap and climate change threats highlight the importance of building climate change resilience and increasing agricultural capacity. Effectively managing the microclimate can help increase a farm’s resilience to climate change. Therefore, this study aims to create an effective and valid assessment tool that assists Ethiopian watershed managers in guiding land and water management practices to improve microclimate conditions for optimal crop production. The results of this research are twofold: a scientific knowledge base on the microclimate’s workings and a valid assessment tool that guides users in improving the microclimate.",How can an assessment tool be developed to assist Ethiopian watershed managers in improving microclimate conditions for optimal crop production?,13 - Climate Action,The study addresses the impacts of climate change on agriculture in Ethiopia and aims to enhance resilience through effective microclimate management.,"Guba Lafto, Ethiopia",Local,Agriculture,"Microclimate, Crop Production, Ethiopia, Assessment Tool, Climate Change","Literature-Based Research, Qualitative Empirical Research","In-depth literature study, Interviews, Focus groups",,MetaMeta,,Guba Lafto,,,City,,woesik_2021.pdf,woesik_2021.png,Matched,Ethiopia,,
Fluvial flood risk: an inundation modelling study to analyze the contribution of river embankments to flood risk downstream,Pietro Stradiotti,,"Pietro Stradiotti, Rens van Beek",Hans Middelkoop,"This study investigates the impact of river embankments on flood risk downstream. The objective is to evaluate how these structures, while providing protection, can inadvertently increase flood hazard further along the river. Utilizing the GLOFRIM framework, which integrates hydrological and hydrodynamic models, the research conducts a scenario-based analysis to assess expected annual damage (EAD) in the Niederrhein region. Findings indicate that higher protection levels upstream correlate with increased flood risk downstream, with potential damages estimated between 0.9 and 1.7 billion dollars. This highlights the need for incorporating such effects into large-scale risk assessments.",How do river embankments contribute to flood risk downstream?,11 - Sustainable Cities and Communities,The study addresses urban flood risk management and the implications of flood protection measures on community safety.,"Niederrhein, Germany",Regional,Energy & Climate,"flood risk, inundation modelling, river embankments, GLOFRIM, expected annual damage",Mixed Methods Research,"Scenario analysis, hydrodynamic modelling, Statistical analysis",River flood risk framework,,,Niederrhein,51.401347,6.50964,Region,Abstract too short,stradiotti_unknown.pdf,stradiotti_unknown.png,Matched,Germany,51.401347,6.50964
Modelling Alternative Drinking Water Extraction Strategies for the Sandy Pleistocene Regions of the Netherlands,Jasper Christiaan van Lieshout,2021.0,Jaivime Evaristo,Stefan Dekker,"Sufficient provision of high-quality drinking water is vital to a healthy society and the prosperity of local industries, agriculture, and energy sectors. For the sandy Pleistocene regions of the Netherlands, phreatic aquifers are the primary sources of drinking water. However, future socio-economic and climatological stresses increasingly exert pressure on the sustainable utilization of these sources; resulting in an onset of groundwater depletion, drought enhancement, and degradation of groundwater-dependent ecosystems. This thesis presents an explorative regional study in pursuit of a sustainable drinking water provision system from groundwater for these regions. The approach followed the identification and conceptualization of two innovative alternative extraction strategies: decentralized extractions and seasonal extractions. The results showed that decentralization can have a beneficial effect on regional groundwater levels.",Which alternative strategies for groundwater extraction are viable and how do they affect the regional hydro-environment in the sandy Pleistocene regions of the Netherlands?,6 - Clean Water and Sanitation,"The study focuses on sustainable drinking water provision and the management of groundwater resources, which directly relates to ensuring availability and sustainable management of water.","Northern Achterhoek, Netherlands",Local,Water Management,"Drinking water, Sustainability, Groundwater, Extraction strategies, Pleistocene uplands",Quantitative Empirical Research,"Scenario analysis, Geohydrological modeling",,KWR Water Research Institute,,Achterhoek,51.966667,6.383333,Broad,,lieshout_2021.pdf,lieshout_2021.png,Matched,Netherlands,51.966667,6.383333
Towards regional upscaling of subirrigation as a tool for agricultural climate adaptation,Tom Heijmans,2022.0,Stefan Dekker,,"This research investigates the feasibility of subirrigation as a climate adaptation strategy for agriculture in North-Limburg, the Netherlands. The study aims to develop a water balance model using Vensim to assess the water management challenges associated with regional implementation of subirrigation. The findings indicate that while subirrigation can enhance groundwater levels, it also poses risks to surface water availability during droughts. The model successfully simulates various scenarios, revealing the complexities of water distribution and the need for careful management in agricultural practices.","How can the hydrological processes at the field scale, and the impact of subirrigation on these processes, be translated into a simplified qualitative field scale water balance at both field and regional scale?",13 - Climate Action,The research addresses the impacts of climate change on agricultural practices and explores adaptation strategies to enhance resilience against droughts.,"North-Limburg, Netherlands",Local,Energy & Climate,"Agricultural Climate Adaptation, Subirrigation, Mariapeel, Vensim, System Dynamics Modelling, Regional Upscaling",Mixed Methods Research,System dynamics modelling,,KWR Water Research Institute,,North-Limburg,51.5,5.966667,Region,Abstract too short,heijmans_2022.pdf,heijmans_2022.png,Matched,Netherlands,51.5,5.966667
Developing an assessment framework for circularity in dike reinforcement projects,N.J. Schemmekes,2022.0,"Stefanie Lutz, M.C. Wolbers",,"This thesis explores the development of an assessment framework aimed at enhancing circularity in dike reinforcement projects. The objective is to create a structured approach that evaluates the circularity of materials and processes used in these projects. A qualitative empirical research methodology is employed, involving case studies and stakeholder interviews to gather insights. The findings reveal key indicators for assessing circularity, emphasizing the importance of resource management and future-proofing strategies in dike reinforcement.",How can an assessment framework be developed to evaluate circularity in dike reinforcement projects?,12 - Responsible Consumption and Production,"The research focuses on improving resource efficiency and promoting sustainable practices in infrastructure projects, aligning with the goal of responsible consumption and production.",Netherlands,National,Circular Economy & Production,"circularity, dike reinforcement, assessment framework, resource management",Qualitative Empirical Research,"Case study, Stakeholder interviews",,,,Netherlands,52.243498,5.634323,Country,Abstract too short,schemmekes_2022.pdf,schemmekes_2022.png,Matched,Netherlands,52.243498,5.634323
Mapping Drought Risk in the European Union: A Framework for Future Risk Assessment,John Doe,2023.0,Jane Smith,,"This thesis explores the topic of drought risk in the European Union, aiming to develop a comprehensive framework for assessing future drought risks. The methodology includes mapping drought risk through quantifying hazard, exposure, and vulnerability, followed by validation in the Netherlands. The main findings indicate significant variations in drought risk across EU countries and highlight the importance of localized assessments for effective risk management.",How can a comprehensive framework for assessing future drought risk in the European Union be developed and validated?,13 - Climate Action,"This research addresses the urgent need for effective climate action by assessing and mapping drought risks, which are exacerbated by climate change.",European Union,Regional,Energy & Climate,"drought risk, EU, risk assessment, Climate Change, vulnerability",Mixed Methods Research,"Mapping drought risk, Case study, Validation",,,,Netherlands,52.2434979,5.6343227,Country,Abstract too short,doe_2023.pdf,doe_2023.png,Matched (content),Europe,,
Beyond Implementation: Understanding Long-Term Success of WASH Projects in Kenya,Frances Ouwejan,2023.0,Stefanie Lutz,Jana Cox,"This study investigates the long-term effectiveness and sustainability of Water, Sanitation, and Hygiene (WASH) projects implemented in Kenya, focusing on functionality, user experience, public health, and socio-economic outcomes. Using a mixed-methods approach, the research evaluates 11 projects by Vitens Evides International (VEI) and Water for Life (WfL) in Kisumu and Nakuru counties, applying the FIETS sustainability framework alongside the F-Diagram and Sustainable Livelihoods Framework (SLF). Quantitative and qualitative data from around 2,000 survey respondents and focus group discussions reveal that shared infrastructure generally outperforms public assets, with higher scores in both functionality and user experience. The study finds links between infrastructure reliability and improvements in public health, education, and economic participation, particularly among women and children. However, challenges remain due to governance gaps, uneven performance of sanitation systems, and financial sustainability issues.","What are the overall effectiveness and long-term impacts of WASH projects in Kenya on infrastructure functionality, user experience, public health, and socio-economic impacts?",6 - Clean Water and Sanitation,"The study addresses the critical need for sustainable management of water and sanitation services, which is essential for public health and socio-economic development in Kenya.",Kenya,National,Social Justice & Equity,"WASH, FIETS, Sustainable Livelihoods Framework, public health, socio-economic impact",Mixed Methods Research,"Survey, Focus groups, Field observations","FIETS Framework, F-Diagram, Sustainable Livelihoods Framework",VEI; WfL,"Vitens Evides International, Water for Life",Kenya,1.441968,38.431398,Country,,ouwejan_2023.pdf,ouwejan_2023.png,Matched,Kenya,1.441968,38.431398
